#Distancia emision (mm) 	 Distancia captura desde emision 	 Distancia captura en detector (mm)
0.6000600	10.3690369	10.9690969
1.5241524	0.5400540	2.0642064
2.3202320	8.6608661	10.9810981
1.5841584	9.7929793	11.3771377
1.3321332	9.2489249	10.5810581
3.4003400	8.7168717	12.1172117
1.5001500	9.4889489	10.9890989
2.6042604	9.0409041	11.6451645
0.7960796	10.3250325	11.1211121
0.2920292	10.6690669	10.9610961
3.6843684	6.9726973	10.6570657
0.6920692	9.9129913	10.6050605
0.1240124	11.2811281	11.4051405
4.8044804	7.0527053	11.8571857
1.4161416	0.0520052	1.4681468
3.9923992	6.7806781	10.7730773
0.6160616	11.1011101	11.7171717
0.5480548	0.7240724	1.2721272
4.8924892	5.6325633	10.5250525
1.3681368	10.0610061	11.4291429
3.9723972	7.2167217	11.1891189
2.1842184	9.3209321	11.5051505
2.6242624	8.0168017	10.6410641
3.4963496	0.9560956	4.4524452
1.6721672	9.1489149	10.8210821
2.7202720	5.4725473	8.1928193
1.0601060	9.7209721	10.7810781
2.9242924	7.5887589	10.5130513
4.4244424	6.6166617	11.0411041
4.8644864	6.6606661	11.5251525
2.8402840	1.9841984	4.8244824
3.6243624	9.0129013	12.6372637
4.1764176	7.9567957	12.1332133
3.4883488	8.7608761	12.2492249
3.6723672	6.9126913	10.5850585
3.3283328	7.6967697	11.0251025
0.2320232	7.5887589	7.8207821
0.0240024	3.1683168	3.1923192
3.8203820	6.7086709	10.5290529
0.1600160	10.8770877	11.0371037
1.1601160	10.9090909	12.0692069
3.7363736	6.8166817	10.5530553
2.5762576	8.7088709	11.2851285
0.4120412	10.1250125	10.5370537
3.3283328	7.4647465	10.7930793
4.7484748	5.9765977	10.7250725
0.2640264	10.2610261	10.5250525
3.9163916	7.0327033	10.9490949
2.4922492	0.7280728	3.2203220
3.6163616	6.9366937	10.5530553
2.9082908	9.2049205	12.1132113
1.5721572	9.9769977	11.5491549
3.7483748	7.0007001	10.7490749
3.6083608	7.9647965	11.5731573
1.6041604	9.0489049	10.6530653
4.6444644	9.7049705	14.3494349
3.7083708	7.5807581	11.2891289
4.8564856	5.6845685	10.5410541
0.3360336	11.1691169	11.5051505
2.0362036	8.6648665	10.7010701
0.1120112	10.9450945	11.0571057
1.2281228	9.2809281	10.5090509
0.1960196	11.5731573	11.7691769
3.8523852	9.1689169	13.0213021
4.0764076	8.0208021	12.0972097
1.8001800	8.7408741	10.5410541
0.0280028	10.7450745	10.7730773
4.5044504	3.7403740	8.2448245
1.8281828	9.0969097	10.9250925
1.9841984	9.0729073	11.0571057
4.0764076	6.9766977	11.0531053
1.2201220	10.0410041	11.2611261
2.9642964	7.6687669	10.6330633
1.0001000	9.6209621	10.6210621
0.0800080	10.7490749	10.8290829
0.3360336	2.2882288	2.6242624
2.7402740	8.2168217	10.9570957
4.0004000	6.5286529	10.5290529
1.7641764	8.9648965	10.7290729
2.8402840	8.8168817	11.6571657
2.1642164	8.5768577	10.7410741
4.1284128	6.6726673	10.8010801
4.6044604	8.3568357	12.9612961
4.7684768	6.5926593	11.3611361
4.1164116	7.6167617	11.7331733
4.4044404	3.5443544	7.9487949
3.7483748	7.1487149	10.8970897
4.8164816	6.9646965	11.7811781
3.2243224	4.9404940	8.1648165
2.6122612	1.7561756	4.3684368
3.2803280	1.5881588	4.8684868
3.1243124	7.6767677	10.8010801
3.5563556	7.6687669	11.2251225
4.9004900	6.9726973	11.8731873
3.0403040	8.1208121	11.1611161
2.2362236	5.8405841	8.0768077
3.5083508	8.1208121	11.6291629
1.8801880	2.7962796	4.6764676
3.4123412	7.1007101	10.5130513
1.5761576	10.4370437	12.0132013
1.4401440	9.5049505	10.9450945
1.4081408	9.5449545	10.9530953
0.1520152	10.8970897	11.0491049
1.3441344	1.6161616	2.9602960
0.6440644	9.9049905	10.5490549
3.7003700	7.8047805	11.5051505
0.5600560	10.2010201	10.7610761
0.7560756	4.6524652	5.4085409
3.0923092	7.4127413	10.5050505
4.7964796	0.1920192	4.9884988
2.5642564	8.0568057	10.6210621
1.0081008	9.5889589	10.5970597
2.1122112	8.9168917	11.0291029
0.5080508	10.5970597	11.1051105
3.0043004	7.6847685	10.6890689
0.6960696	9.9449945	10.6410641
3.0963096	8.0608061	11.1571157
3.9083908	7.7127713	11.6211621
0.4160416	10.1890189	10.6050605
0.7840784	11.0131013	11.7971797
3.4883488	7.4607461	10.9490949
0.3400340	4.3324332	4.6724672
2.8122812	0.0520052	2.8642864
2.2162216	8.3608361	10.5770577
0.0640064	10.7890789	10.8530853
3.3483348	7.3487349	10.6970697
2.0962096	10.3170317	12.4132413
2.4642464	8.2008201	10.6650665
0.3160316	10.2610261	10.5770577
2.7802780	9.4729473	12.2532253
4.1684168	7.2167217	11.3851385
3.3723372	7.8007801	11.1731173
3.0603060	0.0320032	3.0923092
3.6643664	7.9007901	11.5651565
0.8520852	3.2443244	4.0964096
