#Valores de X 	 AbsorptionProbability
0.0040004	0.9997538
0.0080008	0.9995076
0.0120012	0.9992615
0.0160016	0.9990154
0.0200020	0.9987694
0.0240024	0.9985235
0.0280028	0.9982776
0.0320032	0.9980318
0.0360036	0.9977861
0.0400040	0.9975404
0.0440044	0.9972948
0.0480048	0.9970492
0.0520052	0.9968037
0.0560056	0.9965582
0.0600060	0.9963128
0.0640064	0.9960675
0.0680068	0.9958223
0.0720072	0.9955770
0.0760076	0.9953319
0.0800080	0.9950868
0.0840084	0.9948418
0.0880088	0.9945968
0.0920092	0.9943519
0.0960096	0.9941071
0.1000100	0.9938623
0.1040104	0.9936176
0.1080108	0.9933729
0.1120112	0.9931283
0.1160116	0.9928838
0.1200120	0.9926393
0.1240124	0.9923949
0.1280128	0.9921505
0.1320132	0.9919062
0.1360136	0.9916620
0.1400140	0.9914178
0.1440144	0.9911737
0.1480148	0.9909296
0.1520152	0.9906856
0.1560156	0.9904417
0.1600160	0.9901978
0.1640164	0.9899540
0.1680168	0.9897102
0.1720172	0.9894665
0.1760176	0.9892229
0.1800180	0.9889793
0.1840184	0.9887357
0.1880188	0.9884923
0.1920192	0.9882489
0.1960196	0.9880055
0.2000200	0.9877623
0.2040204	0.9875190
0.2080208	0.9872759
0.2120212	0.9870328
0.2160216	0.9867897
0.2200220	0.9865468
0.2240224	0.9863038
0.2280228	0.9860610
0.2320232	0.9858182
0.2360236	0.9855754
0.2400240	0.9853328
0.2440244	0.9850901
0.2480248	0.9848476
0.2520252	0.9846051
0.2560256	0.9843626
0.2600260	0.9841202
0.2640264	0.9838779
0.2680268	0.9836356
0.2720272	0.9833934
0.2760276	0.9831513
0.2800280	0.9829092
0.2840284	0.9826672
0.2880288	0.9824252
0.2920292	0.9821833
0.2960296	0.9819415
0.3000300	0.9816997
0.3040304	0.9814579
0.3080308	0.9812163
0.3120312	0.9809747
0.3160316	0.9807331
0.3200320	0.9804916
0.3240324	0.9802502
0.3280328	0.9800088
0.3320332	0.9797675
0.3360336	0.9795263
0.3400340	0.9792851
0.3440344	0.9790439
0.3480348	0.9788029
0.3520352	0.9785618
0.3560356	0.9783209
0.3600360	0.9780800
0.3640364	0.9778392
0.3680368	0.9775984
0.3720372	0.9773577
0.3760376	0.9771170
0.3800380	0.9768764
0.3840384	0.9766359
0.3880388	0.9763954
0.3920392	0.9761550
0.3960396	0.9759146
0.4000400	0.9756743
0.4040404	0.9754341
0.4080408	0.9751939
0.4120412	0.9749537
0.4160416	0.9747137
0.4200420	0.9744737
0.4240424	0.9742337
0.4280428	0.9739938
0.4320432	0.9737540
0.4360436	0.9735142
0.4400440	0.9732745
0.4440444	0.9730349
0.4480448	0.9727953
0.4520452	0.9725557
0.4560456	0.9723162
0.4600460	0.9720768
0.4640464	0.9718375
0.4680468	0.9715982
0.4720472	0.9713589
0.4760476	0.9711198
0.4800480	0.9708806
0.4840484	0.9706416
0.4880488	0.9704026
0.4920492	0.9701636
0.4960496	0.9699247
0.5000500	0.9696859
0.5040504	0.9694471
0.5080508	0.9692084
0.5120512	0.9689698
0.5160516	0.9687312
0.5200520	0.9684926
0.5240524	0.9682542
0.5280528	0.9680157
0.5320532	0.9677774
0.5360536	0.9675391
0.5400540	0.9673008
0.5440544	0.9670627
0.5480548	0.9668245
0.5520552	0.9665865
0.5560556	0.9663485
0.5600560	0.9661105
0.5640564	0.9658726
0.5680568	0.9656348
0.5720572	0.9653970
0.5760576	0.9651593
0.5800580	0.9649217
0.5840584	0.9646841
0.5880588	0.9644465
0.5920592	0.9642090
0.5960596	0.9639716
0.6000600	0.9637343
0.6040604	0.9634969
0.6080608	0.9632597
0.6120612	0.9630225
0.6160616	0.9627854
0.6200620	0.9625483
0.6240624	0.9623113
0.6280628	0.9620743
0.6320632	0.9618375
0.6360636	0.9616006
0.6400640	0.9613638
0.6440644	0.9611271
0.6480648	0.9608905
0.6520652	0.9606538
0.6560656	0.9604173
0.6600660	0.9601808
0.6640664	0.9599444
0.6680668	0.9597080
0.6720672	0.9594717
0.6760676	0.9592354
0.6800680	0.9589992
0.6840684	0.9587631
0.6880688	0.9585270
0.6920692	0.9582910
0.6960696	0.9580550
0.7000700	0.9578191
0.7040704	0.9575833
