# nXAux	 nYAux 	 XReal 	 XReal
0	285	-40	17
1	284	-39.8	16.9133
2	284	-39.6	16.8266
3	283	-39.4	16.7399
4	283	-39.2	16.6532
5	282	-39	16.5665
6	282	-38.8	16.4798
7	281	-38.6	16.3931
8	281	-38.4	16.3064
9	281	-38.2	16.2197
10	280	-38	16.133
11	280	-37.8	16.0463
12	279	-37.6	15.9596
13	279	-37.4	15.8729
14	278	-37.2	15.7862
15	278	-37	15.6995
16	278	-36.8	15.6128
17	277	-36.6	15.5261
18	277	-36.4	15.4394
19	276	-36.2	15.3527
20	276	-36	15.266
21	275	-35.8	15.1793
22	275	-35.6	15.0926
23	275	-35.4	15.0059
24	274	-35.2	14.9192
25	274	-35	14.8325
26	273	-34.8	14.7458
27	273	-34.6	14.6591
28	272	-34.4	14.5724
29	272	-34.2	14.4857
30	271	-34	14.399
31	271	-33.8	14.3123
32	271	-33.6	14.2256
33	270	-33.4	14.1389
34	270	-33.2	14.0522
35	269	-33	13.9655
36	269	-32.8	13.8788
37	268	-32.6	13.7921
38	268	-32.4	13.7054
39	268	-32.2	13.6187
40	267	-32	13.532
41	267	-31.8	13.4453
42	266	-31.6	13.3586
43	266	-31.4	13.2719
44	265	-31.2	13.1852
45	265	-31	13.0985
46	265	-30.8	13.0118
47	264	-30.6	12.9251
48	264	-30.4	12.8384
49	263	-30.2	12.7517
50	263	-30	12.665
51	262	-29.8	12.5783
52	262	-29.6	12.4916
53	262	-29.4	12.4049
54	261	-29.2	12.3182
55	261	-29	12.2315
56	260	-28.8	12.1448
57	260	-28.6	12.0581
58	259	-28.4	11.9714
59	259	-28.2	11.8847
60	258	-28	11.798
61	258	-27.8	11.7113
62	258	-27.6	11.6246
63	257	-27.4	11.5379
64	257	-27.2	11.4512
65	256	-27	11.3645
66	256	-26.8	11.2778
67	255	-26.6	11.1911
68	255	-26.4	11.1044
69	255	-26.2	11.0177
70	254	-26	10.931
71	254	-25.8	10.8443
72	253	-25.6	10.7576
73	253	-25.4	10.6709
74	252	-25.2	10.5842
75	252	-25	10.4975
76	252	-24.8	10.4108
77	251	-24.6	10.3241
78	251	-24.4	10.2374
79	250	-24.2	10.1507
80	250	-24	10.064
81	249	-23.8	9.97734
82	249	-23.6	9.89064
83	249	-23.4	9.80394
84	248	-23.2	9.71724
85	248	-23	9.63054
86	247	-22.8	9.54384
87	247	-22.6	9.45714
88	246	-22.4	9.37044
89	246	-22.2	9.28374
90	245	-22	9.19704
91	245	-21.8	9.11034
92	245	-21.6	9.02365
93	244	-21.4	8.93695
94	244	-21.2	8.85025
95	243	-21	8.76355
96	243	-20.8	8.67685
97	242	-20.6	8.59015
98	242	-20.4	8.50345
99	242	-20.2	8.41675
100	241	-20	8.33005
101	241	-19.8	8.24335
102	240	-19.6	8.15665
103	240	-19.4	8.06995
104	239	-19.2	7.98325
105	239	-19	7.89655
106	239	-18.8	7.80985
107	238	-18.6	7.72315
108	238	-18.4	7.63645
109	237	-18.2	7.54975
110	237	-18	7.46305
111	236	-17.8	7.37635
112	236	-17.6	7.28966
113	236	-17.4	7.20296
114	235	-17.2	7.11626
115	235	-17	7.02956
116	234	-16.8	6.94286
117	234	-16.6	6.85616
118	233	-16.4	6.76946
119	233	-16.2	6.68276
120	232	-16	6.59606
121	232	-15.8	6.50936
122	232	-15.6	6.42266
123	231	-15.4	6.33596
124	231	-15.2	6.24926
125	230	-15	6.16256
126	230	-14.8	6.07586
127	229	-14.6	5.98916
128	229	-14.4	5.90246
129	229	-14.2	5.81576
130	228	-14	5.72906
131	228	-13.8	5.64236
132	227	-13.6	5.55567
133	227	-13.4	5.46897
134	226	-13.2	5.38227
135	226	-13	5.29557
