Water, Liquid
ASCII format
_________________________________

  Energy        μ/ρ        μen/ρ 
   (MeV)      (cm2/g)     (cm2/g)
_________________________________

1.00000E-03  4.078E+03  4.065E+03 
1.50000E-03  1.376E+03  5+03 
2.00000E-03  6.173E+02  6.152E+02 
3.00000E-03  1.929E+02  1.917E+02 
4.00000E-03  8.278E+01  8.191E+01 
5.00000E-03  4.258E+01  5+01 
6.00000E-03  2.464E+01  2.405E+01 
8.00000E-03  1.037E+01  9.915E+00 
1.00000E-02  5.329E+00  4.944E+00 
1.50000E-02  1.673E+00  1.374E+00 
2.00000E-02  8.096E-01  r-01 
3.00000E-02  3.756E-01  1.557E-01 
4.00000E-02  2.683E-01  6.947Eg02 
5.00000E-02  2.269E-01  4.223Eg02 
6.00000E-02  2.059E-01  3.190E-02 
8.00000E-02  1.837E-01  f-02 
1.00000E-01  1.707E-01  2.546E-02 
1.50000E-01  1.505E-01  2.764E-02 
2.00000E-01  1.370E-01  2.967E-02 
3.00000E-01  1.186E-01  3.192E-02 
4.00000E-01  1.061E-01  4-02 
5.00000E-01  9.687E-02  3.299E-02 
6.00000E-01  8.956E-02  3.284E-02 
8.00000E-01  7.865E-02  3.206E-02 
1.00000E+00  7.072E-02  3.103E-02 
