#No. de Eventos	 PromedioEscapados 	 SigmaEscapados
1	14.0000	34.6987
2.0000	11.0000	23.0000
3.0000	10.0000	16.6667
4.0000	11.0000	13.3791
5.0000	9.6000	12.8000
6.0000	10.0000	11.5470
7.0000	10.5714	10.2260
8.0000	10.5000	10.1119
9.0000	11.1111	9.1625
10.0000	11.0000	9.0000
20.0000	12.2000	6.9397
30.0000	12.8000	5.3897
40.0000	12.3500	4.8582
50.0000	12.4000	4.2895
60.0000	12.4333	4.0581
70.0000	12.3714	3.8291
80.0000	12.4250	3.3016
90.0000	12.4000	3.1845
100.0000	12.5200	3.0805
200.0000	12.2600	1.9345
300.0000	12.1467	1.4865
400.0000	11.7400	1.6522
500.0000	11.7480	1.4482
600.0000	11.7167	1.4155
700.0000	11.7229	1.2083
800.0000	11.6700	1.0676
900.0000	11.7422	1.1190
1000.0000	11.6660	1.1304
2000.0000	11.5730	0.7026
3000.0000	11.5760	0.4614
4000.0000	11.6995	0.4684
5000.0000	11.9596	0.4891
6000.0000	11.9433	0.4621
7000.0000	11.8169	0.3663
8000.0000	11.7510	0.3370
9000.0000	11.7311	0.3519
10000.0000	11.7750	0.3232
20000.0000	11.8073	0.1714
30000.0000	11.8390	0.1605
40000.0000	11.7939	0.1579
50000.0000	11.8009	0.1253
60000.0000	11.8129	0.1254
70000.0000	11.7888	0.1306
80000.0000	11.8238	0.1027
90000.0000	11.7796	0.1015
100000.0000	11.8007	0.0879
200000.0000	11.7912	0.0789
300000.0000	11.8086	0.0580
400000.0000	11.8005	0.0477
500000.0000	11.8019	0.0447
600000.0000	11.7954	0.0402
700000.0000	11.8032	0.0291
800000.0000	11.7934	0.0318
900000.0000	11.8044	0.0365
