# nXAux 	 nYAux 	 nZAux 	X 	 Y 	 Z 	 Rho 	 Phi 	ThetaAle 	 PhiAle 	 ThetaMin 	color	 nXFinal 	 nYFinal 	 nZFinal 
# Todo en mm y angulos en radianes
196	184	259	-0.80	-3.20	45.13	3.30	4.47	2.09	5.29	0.31	2.00	267	129	0
224	210	304	4.80	2.00	52.97	5.20	0.39	2.48	1.86	0.47	2.00	400	218	56
197	197	195	-0.60	-0.60	33.98	0.85	3.93	2.70	4.97	0.27	2.00	0	222	34
206	179	263	1.20	-4.20	45.83	4.37	4.99	2.59	2.92	0.46	2.00	94	0	206
208	196	297	1.60	-0.80	51.75	1.79	5.82	1.00	2.46	0.60	2.00	0	62	283
206	186	208	1.20	-2.80	36.24	3.05	5.12	1.34	4.75	0.22	2.00	342	31	400
221	207	226	4.20	1.40	39.38	4.43	0.32	1.59	5.68	0.23	2.00	213	400	166
208	187	284	1.60	-2.60	49.49	3.05	5.26	0.75	4.08	0.42	2.00	61	226	400
200	180	199	0.00	-4.00	34.68	4.00	5.26	2.92	3.99	0.24	2.00	191	0	71
210	184	313	2.00	-3.20	54.54	3.77	5.27	2.18	5.73	0.43	2.00	342	0	13
182	216	312	-3.60	3.20	54.37	4.82	2.41	1.71	2.97	0.38	2.00	312	400	29
181	183	245	-3.80	-3.40	42.69	5.10	3.87	2.13	3.75	0.20	2.00	257	106	0
219	195	239	3.80	-1.00	41.65	3.93	6.03	0.70	2.17	0.44	2.00	0	272	94
175	217	293	-5.00	3.40	51.06	6.05	2.54	1.97	0.81	0.48	2.00	0	198	142
206	186	208	1.20	-2.80	36.24	3.05	5.12	0.39	0.34	0.29	2.00	330	134	400
212	197	176	2.40	-0.60	30.67	2.47	6.04	2.63	3.66	0.30	2.00	212	0	181
190	189	192	-2.00	-2.20	33.46	2.97	3.97	2.04	6.12	0.32	2.00	0	392	253
206	181	256	1.20	-3.80	44.61	3.98	5.02	0.35	3.05	0.43	-2.00	1	1	1
219	223	300	3.80	4.60	52.28	5.97	0.88	1.31	5.38	0.52	2.00	0	85	158
190	223	241	-2.00	4.60	41.99	5.02	1.98	2.21	4.10	0.41	2.00	133	0	210
178	203	298	-4.40	0.60	51.93	4.44	3.01	1.16	6.11	0.70	2.00	0	139	234
181	212	308	-3.80	2.40	53.67	4.49	2.58	2.74	1.21	0.49	2.00	400	356	94
195	177	241	-1.00	-4.60	41.99	4.71	4.50	0.92	4.05	0.22	2.00	360	232	0
212	175	184	2.40	-5.00	32.06	5.55	5.16	2.61	0.97	0.31	2.00	62	141	400
175	221	223	-5.00	4.20	38.86	6.53	2.44	2.19	2.00	0.14	2.00	344	188	400
193	208	282	-1.40	1.60	49.14	2.13	2.29	1.57	1.49	0.41	2.00	36	0	115
180	210	201	-4.00	2.00	35.02	4.47	2.68	1.47	6.23	0.39	2.00	73	400	280
218	197	256	3.60	-0.60	44.61	3.65	6.12	2.14	2.75	0.51	2.00	400	333	373
219	196	312	3.80	-0.80	54.37	3.88	6.08	1.00	0.77	0.47	2.00	232	400	116
195	177	229	-1.00	-4.60	39.90	4.71	4.50	0.60	0.11	0.35	2.00	400	317	272
214	213	265	2.80	2.60	46.18	3.82	0.75	1.04	5.76	0.35	2.00	39	305	400
212	187	281	2.40	-2.60	48.96	3.54	5.46	0.11	3.78	0.46	-2.00	1	1	1
181	210	209	-3.80	2.00	36.42	4.29	2.66	1.01	3.65	0.22	2.00	137	0	192
199	220	248	-0.20	4.00	43.21	4.00	1.62	2.25	1.14	0.25	2.00	246	400	159
204	177	309	0.80	-4.60	53.84	4.67	4.88	3.00	5.06	0.35	2.00	88	0	7
181	214	295	-3.80	2.80	51.40	4.72	2.51	1.77	0.20	0.62	2.00	258	0	226
183	206	217	-3.40	1.20	37.81	3.61	2.80	0.45	5.64	0.41	2.00	74	400	162
178	180	218	-4.40	-4.00	37.99	5.95	3.88	2.26	6.25	0.41	2.00	263	0	207
198	181	183	-0.40	-3.80	31.89	3.82	4.61	1.01	4.04	0.19	2.00	0	337	156
194	182	231	-1.20	-3.60	40.25	3.79	4.39	0.29	6.23	0.35	-2.00	1	1	1
217	202	299	3.40	0.40	52.10	3.42	0.12	2.99	4.99	0.49	2.00	131	295	400
177	222	269	-4.60	4.40	46.87	6.37	2.38	2.64	0.78	0.36	2.00	161	205	0
206	198	275	1.20	-0.40	47.92	1.26	5.96	1.98	4.59	0.44	2.00	224	400	112
