# X(mm) 	 Y(mm) 	 Z(mm) 	 color
-0.8	-3.2	45.1308	2
0.323165	-4.91701	43.9476	2
1.44633	-6.63402	42.7645	2
2.56949	-8.35103	41.5814	2
3.69266	-10.068	40.3982	2
4.81582	-11.7851	39.2151	2
5.93899	-13.5021	38.032	2
7.06215	-15.2191	36.8489	2
8.18532	-16.9361	35.6657	2
9.30848	-18.6531	34.4826	2
10.4316	-20.3701	33.2995	2
11.5548	-22.0871	32.1163	2
12.678	-23.8041	30.9332	2
13.8011	-25.5211	29.7501	2
14.9243	-27.2382	28.567	2
16.0475	-28.9552	27.3838	2
17.1706	-30.6722	26.2007	2
18.2938	-32.3892	25.0176	2
19.417	-34.1062	23.8345	2
20.5401	-35.8232	22.6513	2
4.8	2	52.972	2
4.3849	3.39328	51.1023	2
3.9698	4.78656	49.2325	2
3.55469	6.17984	47.3628	2
3.13959	7.57312	45.4931	2
2.72449	8.9664	43.6234	2
2.30939	10.3597	41.7536	2
1.89429	11.753	39.8839	2
1.47919	13.1462	38.0142	2
1.06408	14.5395	36.1445	2
0.648982	15.9328	34.2747	2
0.233881	17.3261	32.405	2
-0.181221	18.7194	30.5353	2
-0.596323	20.1126	28.6655	2
-1.01142	21.5059	26.7958	2
-1.42653	22.8992	24.9261	2
-1.84163	24.2925	23.0564	2
-2.25673	25.6858	21.1866	2
-2.67183	27.079	19.3169	2
-3.08693	28.4723	17.4472	2
-0.6	-0.6	33.9788	2
-0.344174	-1.57429	31.8352	2
-0.0883478	-2.54857	29.6917	2
0.167478	-3.52286	27.5481	2
0.423304	-4.49715	25.4046	2
0.67913	-5.47144	23.2611	2
0.934956	-6.44572	21.1175	2
1.19078	-7.42001	18.974	2
1.44661	-8.3943	16.8305	2
1.70243	-9.36859	14.6869	2
1.95826	-10.3429	12.5434	2
2.21409	-11.3172	10.3999	2
2.46991	-12.2914	8.25635	2
2.72574	-13.2657	6.11282	2
2.98157	-14.24	3.96928	2
3.23739	-15.2143	1.82575	2
3.49322	-16.1886	-0.317785	2
3.74904	-17.1629	-2.46132	2
4.00487	-18.1372	-4.60485	2
4.2607	-19.1115	-6.74839	2
1.2	-4.2	45.8278	2
-0.0114041	-3.92882	43.8107	2
-1.22281	-3.65764	41.7937	2
-2.43421	-3.38646	39.7767	2
-3.64562	-3.11527	37.7597	2
-4.85702	-2.84409	35.7426	2
-6.06842	-2.57291	33.7256	2
-7.27983	-2.30173	31.7086	2
-8.49123	-2.03055	29.6916	2
-9.70264	-1.75937	27.6745	2
-10.914	-1.48818	25.6575	2
-12.1254	-1.217	23.6405	2
-13.3368	-0.945821	21.6235	2
-14.5483	-0.67464	19.6065	2
-15.7597	-0.403458	17.5894	2
-16.9711	-0.132277	15.5724	2
-18.1825	0.138905	13.5554	2
-19.3939	0.410086	11.5384	2
-20.6053	0.681268	9.52135	2
-21.8167	0.95245	7.50433	2
1.6	-0.8	51.7523	2
0.0526777	0.455507	53.0325	2
-1.49464	1.71101	54.3127	2
-3.04197	2.96652	55.5929	2
-4.58929	4.22203	56.8731	2
-6.13661	5.47754	58.1533	2
-7.68393	6.73304	59.4335	2
-9.23126	7.98855	60.7137	2
-10.7786	9.24406	61.9939	2
-12.3259	10.4996	63.2741	2
-13.8732	11.7551	64.5543	2
-15.4205	13.0106	65.8345	2
